Title,Company,Location,Tech
Machine Learning / NLP Data Scientist,Attadale Partners,"Chicago, IL 60602 (Loop area)",ai 
Data Scientist,Qcue,"Middleton, WI",r 
Data Science Summer Intern,Proofpoint,"Mason, OH 45040",cloud 
Data Scientist,eBay Inc.,"Middleton, WI",
Data Science Internship,Trimble Inc.,"Bannockburn, IL",sas 
Senior Data Scientist,Amazon Robotics LLC,"Buffalo, NY 14203",spark 
Data Scientist,Staples,"Bannockburn, IL",spark 
Data Scientist,Cerner Corporation,"Mason, OH 45040",spark 
Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Middleton, WI",
Data Scientist,Clemson University,"Dallas, TX",
Data Scientist,m3bi,"Mason, OH 45040",
"Data Scientist, Global Premium Services",Google,"Middleton, WI",
Data Scientist / Machine Learning Engineer,Ibotta,"Albuquerque, NM 87114",python 
Data Scientist,Citi,"Bannockburn, IL",
"Research Analyst, Educational Programming",Charles Koch Foundation,"Chicago, IL 60602 (Loop area)",
Data Analyst / Data Scientist,Defined Clarity,"Birmingham, AL 35223",sql 
"Scientist, Sr. Data Augmentation",Royal Caribbean Cruises Ltd.,"Dallas, TX",
VP Data Strategy and Analytics,Enterprise Holdings,"Mason, OH 45040",spark 
Campus Data Scientist - Experiences & Rentals,TripAdvisor,"Albuquerque, NM 87114",spark 
Data Scientist,Brightstar Corp.,"Middleton, WI",
Junior Data Scientist/Quant Developer,Liquidnet,"Chicago, IL 60602 (Loop area)",
Data Scientist,"Bravo Consulting Group, LLC","Birmingham, AL 35223",
Database Analyst / Data Scientist,Bixal,"Dallas, TX",aws 
Staff Data Scientist,Tapjoy,"Buffalo, NY 14203",hadoop 
Data Scientist - Intermediate,Equifax,"Mason, OH 45040",
Data Scientist,Kemper,"Middleton, WI",
"Business Intelligence - AWS Database Services, Analytics and Machine Learning","Amazon.com Services, Inc.","Mason, OH 45040",sql 
"Lead Analyst, Data Management Quant Analysis",BNY Mellon,"Middleton, WI",
Data Scientist,Truno Retail Technology Solutions,"Birmingham, AL 35223",kafka 
"Data Scientist, Infrastructure",Facebook,"Bannockburn, IL",python 
"Data Scientist, Operations Decision Support",Google,"Mason, OH 45040",
Data Scientist,Cigna,"Chicago, IL 60602 (Loop area)",
"Data Scientist | Dallas, TX",Photon,"Dallas, TX",
Qualcomm AI Research - Deep Learning / Machine Learning / Computer Vision Eng.,Qualcomm,"Buffalo, NY 14203",
2019 Data Scientist - Campus,Travelport,"Valhalla, NY 10595",r 
Marketing Data Scientist,FocusKPI Inc.,"Albuquerque, NM 87114",sql 
"Senior Data Scientist, Customer Experience",Netflix,"Birmingham, AL 35223",python 
Data Scientist,T-Mobile,"Middleton, WI",
R&D Senior Data Scientist,PepsiCo,"Chicago, IL 60602 (Loop area)",
Market Research Analyst - Data Insights,Apple,"Dallas, TX",python 
QUANTITATIVE MODERATOR/ANALYST,BRAND X RESEARCH,"Buffalo, NY 14203",excel 
Data Scientist I,USAA,"Mason, OH 45040",
Data Scientist,AETNA,"Bannockburn, IL",
Data Science Internship,Bluecore,"Montpelier, VT",python 
AlphaStudio Data Science Intern,"Two Sigma Investments, LLC.","Fort Meade, MD",python 
Junior Data Scientist,Shipbob Inc,"Chicago, IL 60602 (Loop area)",python 
Data Scientist I,AIG,"Dallas, TX",
"Data Scientist, Clients",Socure,"Mason, OH 45040",sql 
Analytics Engineer,Molex,"Montpelier, VT",python 
Data Scientist,dscout,"Fort Meade, MD",python 
Junior Data Scientist,Children's Hospital Los Angeles,"Chicago, IL 60602 (Loop area)",
Scientist - Real World Data and Analytics,GlaxoSmithKline,"Middleton, WI",
Wireless Performance Data Scientist/ Analytics engineer,Apple,"Buffalo, NY 14203",sql 
DATA SCIENCE -INTERN,"Foot Locker, Inc.","Bannockburn, IL",ai 
"Data Scientist I - Phoenix, AZ",Freeport-McMoRan Copper & Gold,"Dallas, TX",r 
Data Scientist,Pixability,"Mason, OH 45040",ai 
Data Scientist,Zocdoc,"Albuquerque, NM 87114",sql 
Senior Associate Data Scientist,Amgen,"Chicago, IL 60602 (Loop area)",r 
Manufacturing Data Scientist,Fiat Chrysler Automobiles,"Birmingham, AL 35223",
Data Scientist,SpotX,"Bannockburn, IL",spark 
Product Data Scientist,Twitter,"Buffalo, NY 14203",python 
Fall Data Science Intern,Øptimus Consulting,"Dallas, TX",excel 
Sr Associate Data Scientist,McKesson,"Mason, OH 45040",
Data Scientist - Research and Analytics Department (REF# EXEC_DAT_NYC_6098),New York State Office of the Attorney General (OAG...,"Valhalla, NY 10595",python 
Data Scientist - Manufacturing,Bluescope NA,"Albuquerque, NM 87114",github 
Data Scientist,Plantek Consulting,"Birmingham, AL 35223",python 
Data Scientist,Zoetis,"Middleton, WI",
Data Scientist,VA Commonwealth Univ,"Chicago, IL 60602 (Loop area)",
Data Scientist (Masters-Level),Lubrizol Corporation,"Dallas, TX",r 
Associate Data Scientist,SolarWinds,"Buffalo, NY 14203",nosql 
Bentonville Data Scientist (On-Site),Engage3,"Mason, OH 45040",sql 
Data Scientist,"Vizient, Inc.","Bannockburn, IL",
Machine Learning Engineer(Edge-based Learning),Volvo Cars Technology,"Birmingham, AL 35223",c/c++
Data & Analytics Rotational Development Program,Equifax,"Middleton, WI",
"Senior Manager, Data Science - Zoro",Grainger,"Chicago, IL 60602 (Loop area)",python 
"Data Scientist, Analytics",Facebook,"Dallas, TX",sql 
Sr. Data Scientist,Pandera Systems,"Buffalo, NY 14203",
Data Scientist,Mobile Programming LLC,"Mason, OH 45040",scikit 
Sr. Data Scientist,MetroPlus Health Plan,"Bannockburn, IL",sas 
Data Scientist,In-Depth Genomics,"Albuquerque, NM 87114",
Data Scientist,Harvard University,"Chicago, IL 60602 (Loop area)",python 
Data Scientist,CMC Enterprises,"Bannockburn, IL",ai 
"Data Scientist, Alexa AI","Amazon.com Services, Inc.","Buffalo, NY 14203",python 
Data Scientist,Guardian Analytics Inc.,"Dallas, TX",r 
Purchasing Agent/ Data Scientist,Instone,"Mason, OH 45040",
